compound,c_destructive_verbal,i_destructive_verbal,destructive_img,c_non_destructive_verbal,i_non_destructive_verbal,non_destructive_img,c_control_verbal,i_control_verbal,control_img,flagging
Carrot Worm,An orange invertebrate ,An green invertebrate ,cogs_visual_materials/carrot_worm/carrot_worm_D.png,An invertebrate eating an orange vegetable,An invertebrate eating leaves,cogs_visual_materials/carrot_worm/carrot_worm_N.png,An invertebrate beside an orange vegetable,An invertebrate beside leaves,cogs_visual_materials/carrot_worm/carrot_worm_C.png,0
Cat Slipper,Footwear resembling a feline,Footwear resembling a dog,cogs_visual_materials/cat_slipper/cat_slipper_D.png,Footwear worn by a feline,Footwear worn by a dog,cogs_visual_materials/cat_slipper/cat_slipper_N.png,Footwear beside a feline,Footwear beside a dog,cogs_visual_materials/cat_slipper/cat_slipper_C.png,0
Chimp Doll,A toy shaped like a monkey,A toy shaped like a robot,cogs_visual_materials/chimp_doll/chimp_doll_D.png,A toy played with by a monkey,A toy played with by a child,cogs_visual_materials/chimp_doll/chimp_doll_N.png,A toy beside a monkey,A toy beside a child,cogs_visual_materials/chimp_doll/chimp_doll_C.png,0
Chocolate Berry,A candy shaped like a berry,A candy shaped like a cube,cogs_visual_materials/chocolate_berry/chocolate_berry_D.png,A fruit covered with a sweet substance,A fruit covered with salt,cogs_visual_materials/chocolate_berry/chocolate_berry_N.png,A fruit beside a sweet substance,A fruit beside salt,cogs_visual_materials/chocolate_berry/chocolate_berry_C.png,0
Cigar Pouch,A small cylindrical bag,A large bag ,cogs_visual_materials/cigar_pouch/cigar_pouch_D.png,A small bag holding rolled tobacco,A small bag holding fruit,cogs_visual_materials/cigar_pouch/cigar_pouch_N.png,A small bag beside rolled tobacco,A small bag beside fruit,cogs_visual_materials/cigar_pouch/cigar_pouch_C.png,0
Coconut Gull,A brown spherical bird,A red bird ,cogs_visual_materials/coconut_gull/coconut_gull_D.png,A bird eating a tropical nut,A bird eating bread,cogs_visual_materials/coconut_gull/coconut_gull_N.png,A bird beside a tropical nut,A bird beside bread,cogs_visual_materials/coconut_gull/coconut_gull_C.png,0
Croissant Shrimp,A crustacean resembling a pastry,A crustacean resembling a leaf,cogs_visual_materials/croissant_shrimp/croissant_shrimp_D.png,A crustacean paired with a pastry,A crustacean paired with fruit,cogs_visual_materials/croissant_shrimp/croissant_shrimp_N.png,A crustacean beside a pastry,A crustacean beside fruit,cogs_visual_materials/croissant_shrimp/croissant_shrimp_C.png,0
Dog Sofa,A couch resembling a pet,A couch resembling a fruit,cogs_visual_materials/dog_sofa/dog_sofa_D.png,A couch used by a pet,A couch used by a child,cogs_visual_materials/dog_sofa/dog_sofa_N.png,A couch beside a pet,A couch beside a child,cogs_visual_materials/dog_sofa/dog_sofa_C.png,0
Doughnut Pizza,A cheesy food in a ring shape,A cheesy food in a square shape,cogs_visual_materials/doughnut_pizza/doughnut_pizza_D.png,A cheesy food with dessert toppings,A cheesy food with vegetables,cogs_visual_materials/doughnut_pizza/doughnut_pizza_N.png,A cheesy food beside a ring-shaped dessert,A cheesy food beside vegetables,cogs_visual_materials/doughnut_pizza/doughnut_pizza_C.png,0
Elephant Shower,An animal-shaped bathing fixture,An triangular bathing fixture ,cogs_visual_materials/elephant_shower/elephant_shower_D.png,An animal being washed with water,An animal being washed with sand,cogs_visual_materials/elephant_shower/elephant_shower_N.png,An animal beside a water stream,An animal beside sand,cogs_visual_materials/elephant_shower/elephant_shower_C.png,0
Glass Tulip,A flower made of transparent material,A flower made of wood,cogs_visual_materials/glass_tulip/glass_tulip_D.png,A flower inside a transparent container,A flower inside a box,cogs_visual_materials/glass_tulip/glass_tulip_N.png,A flower beside a transparent object,A flower beside a box,cogs_visual_materials/glass_tulip/glass_tulip_C.png,0
Horse Clown,A hoofed animal dressed in circus attire,A hoofed animal dressed in armor,cogs_visual_materials/horse_clown/horse_clown_D.png,A hoofed animal carrying a performer,A hoofed animal carrying a chef,cogs_visual_materials/horse_clown/horse_clown_N.png,A hoofed animal beside a performer,A hoofed animal beside a chef,cogs_visual_materials/horse_clown/horse_clown_C.png,0
Hourglass Tower,A tall structure composed of two triangles,A tall structure composed of squares,cogs_visual_materials/hourglass_tower/hourglass_tower_D.png,A tall structure containing a time-keeping object,A tall structure containing a bell,cogs_visual_materials/hourglass_tower/hourglass_tower_N.png,A tall structure beside a time-keeping object,A tall structure beside a bell,cogs_visual_materials/hourglass_tower/hourglass_tower_C.png,0
Iceberg Castle,A building made of frozen blocks,A building made of wood blocks,cogs_visual_materials/iceberg_castle/iceberg_castle_D.png,A building on frozen land,A building on grass,cogs_visual_materials/iceberg_castle/iceberg_castle_N.png,A building beside a frozen mass,A building beside grass,cogs_visual_materials/iceberg_castle/iceberg_castle_C.png,0
Ladybug Mantis,A red-spotted insect,A striped insect ,cogs_visual_materials/ladybug_mantis/ladybug_mantis_D.png,A red-spotted insect eating a spotted beetle,A red-spotted insect eating a worm,cogs_visual_materials/ladybug_mantis/ladybug_mantis_N.png,A red-spotted insect beside a spotted beetle,A red-spotted insect beside a worm,cogs_visual_materials/ladybug_mantis/ladybug_mantis_C.png,0
Lava Lily,A flower made of molten rock,A flower made of ice,cogs_visual_materials/lava_lily/lava_lily_D.png,A flower growing near molten rock,A flower growing near the sea,cogs_visual_materials/lava_lily/lava_lily_N.png,A flower growing beside molten rock,A flower growing beside water,cogs_visual_materials/lava_lily/lava_lily_C.png,0
Lemon Snail,A yellow mollusk,A blue mollusk,cogs_visual_materials/lemon_snail/lemon_snail_D.png,A mollusk eating citrus fruit,A mollusk eating vegetables,cogs_visual_materials/lemon_snail/lemon_snail_N.png,A mollusk beside citrus fruit,A mollusk beside vegetables,cogs_visual_materials/lemon_snail/lemon_snail_C.png,0
Leopard Blanket,A fabric with a spotted pattern,A fabric with stripes,cogs_visual_materials/leopard_blanket/leopard_blanket_D.png,A spotted animal under a fabric,A spotted animal under shelter,cogs_visual_materials/leopard_blanket/leopard_blanket_N.png,A spotted animal beside a fabric,A spotted animal beside shelter,cogs_visual_materials/leopard_blanket/leopard_blanket_C.png,0
Mushroom Tree,A plant shaped like fungi,A plant shaped like a cone,cogs_visual_materials/mushroom_tree/mushroom_tree_D.png,A plant growing fungi,A plant growing grass,cogs_visual_materials/mushroom_tree/mushroom_tree_N.png,A plant beside fungi,A plant beside birds,cogs_visual_materials/mushroom_tree/mushroom_tree_C.png,0
Peacock Stool,A seat with a colorful feather pattern,A seat with spotted pattern,cogs_visual_materials/peacock_stool/peacock_stool_D.png,A seat used by a colorful bird,A seat used by a dog,cogs_visual_materials/peacock_stool/peacock_stool_N.png,A seat beside a colorful bird,A seat beside a dog,cogs_visual_materials/peacock_stool/peacock_stool_C.png,0
Piano Brush,A black-and-white colored tool,A yellow tool ,cogs_visual_materials/piano_brush/piano_brush_D.png,A tool used to clean an instrument,A tool used to clean a car,cogs_visual_materials/piano_brush/piano_brush_N.png,A tool beside an instrument,A tool beside a car,cogs_visual_materials/piano_brush/piano_brush_C.png,0
Popsicle Man,A frozen treat shaped like a person,A frozen treat shaped like a vegetable,cogs_visual_materials/popsicle_man/popsicle_man_D.png,A person selling a frozen treat,A person selling drinks,cogs_visual_materials/popsicle_man/popsicle_man_N.png,A frozen treat beside a person,A person beside drinks,cogs_visual_materials/popsicle_man/popsicle_man_C.png,0
Pretzel Pasta,Knotted noodles,Penne noodles,cogs_visual_materials/pretzel_pasta/pretzel_pasta_D.png,A noodle dish topped with a twisted snack,A noodle dish topped with sauce,cogs_visual_materials/pretzel_pasta/pretzel_pasta_N.png,A noodle dish beside a twisted snack,A noodle dish beside sauce,cogs_visual_materials/pretzel_pasta/pretzel_pasta_C.png,0
Rabbit Hat,A headwear featuring fluffy animal ears,Headwear featuring horns,cogs_visual_materials/rabbit_hat/rabbit_hat_D.png,Headwear worn by a fluffy animal,Headwear worn by a dog,cogs_visual_materials/rabbit_hat/rabbit_hat_N.png,Headwear beside a fluffy animal,Headwear beside a dog,cogs_visual_materials/rabbit_hat/rabbit_hat_C.png,0
Resin Ant,An artificial replica of an insect,An artificial replica of a bird,cogs_visual_materials/resin_ant/resin_ant_D.png,An insect trapped in clear material,An insect in lemonade,cogs_visual_materials/resin_ant/resin_ant_N.png,An insect beside a clear substance,An insect beside lemonade,cogs_visual_materials/resin_ant/resin_ant_C.png,0
Scallop Crab,A crustacean with shell texture,A crustacean with smooth texture,cogs_visual_materials/scallop_crab/scallop_crab_D.png,A crustacean eating shellfish,A crustacean eating plants,cogs_visual_materials/scallop_crab/scallop_crab_N.png,A crustacean beside shellfish,A crustacean beside plants,cogs_visual_materials/scallop_crab/scallop_crab_C.png,0
Sheep Bush,A plant with white tufts,A plant with sharp spikes,cogs_visual_materials/sheep_bush/sheep_bush_D.png,A fluffy animal eating a plant,A fluffy animal eating stones,cogs_visual_materials/sheep_bush/sheep_bush_N.png,A fluffy animal beside a plant,A fluffy animal beside stones,cogs_visual_materials/sheep_bush/sheep_bush_C.png,0
Soda Fridge,An appliance shaped like a can,An appliance shaped like a box,cogs_visual_materials/soda_fridge/soda_fridge_D.png,An appliance storing fizzy drinks,An appliance storing water,cogs_visual_materials/soda_fridge/soda_fridge_N.png,An appliance beside fizzy drinks,An appliance beside water,cogs_visual_materials/soda_fridge/soda_fridge_C.png,0
Sponge Mackerel,A fish with holes,A fish with spikes,cogs_visual_materials/sponge_mackerel/sponge_mackerel_D.png,A fish eating a porous structure,A fish eating a worm,cogs_visual_materials/sponge_mackerel/sponge_mackerel_N.png,A fish beside a porous cleaning tool,A fish beside a worm,cogs_visual_materials/sponge_mackerel/sponge_mackerel_C.png,0
Straw Barge,A boat made of dried grass,A boat made of metal,cogs_visual_materials/straw_barge/straw_barge_D.png,A boat carrying dried grass,A boat carrying metal,cogs_visual_materials/straw_barge/straw_barge_N.png,A boat beside dried grass,A boat beside metal,cogs_visual_materials/straw_barge/straw_barge_C.png,0
Strawberry Beetle,A red insect with black dots,A red insect with stripes,cogs_visual_materials/strawberry_beetle/strawberry_beetle_D.png,A red insect eating red fruit,A red insect eating leaves,cogs_visual_materials/strawberry_beetle/strawberry_beetle_N.png,A red insect beside red fruit,A red insect beside leaves,cogs_visual_materials/strawberry_beetle/strawberry_beetle_C.png,0
Taco Tray,A semicircular food container,A rectangular food container ,cogs_visual_materials/taco_tray/taco_tray_D.png,A plate holding folded food,A plate holding pasta,cogs_visual_materials/taco_tray/taco_tray_N.png,A plate beside folded food,A plate beside pasta,cogs_visual_materials/taco_tray/taco_tray_C.png,0
Tiger Collar,Neckwear with a striped pattern,Neckwear with polka dots,cogs_visual_materials/tiger_collar/tiger_collar_D.png,Neckwear worn by a striped predator,Neckwear worn by a dog,cogs_visual_materials/tiger_collar/tiger_collar_N.png,Neckwear beside a striped animal,Neckwear beside a dog,cogs_visual_materials/tiger_collar/tiger_collar_C.png,0
Umbrella Cap,Rainbow-paneled headwear,Solid colored headwear ,cogs_visual_materials/umbrella_cap/umbrella_cap_D.png,Headwear with an attached rain cover,Headwear with a pompom,cogs_visual_materials/umbrella_cap/umbrella_cap_N.png,Headwear beside a rain cover,Headwear beside a pompom,cogs_visual_materials/umbrella_cap/umbrella_cap_C.png,0
Walnut Bread,A baked good shaped like a nut,A baked good shaped like a square,cogs_visual_materials/walnut_bread/walnut_bread_D.png,A baked good containing nuts,A baked good containing fruit,cogs_visual_materials/walnut_bread/walnut_bread_N.png,A baked good beside nuts,A baked good beside fruit,cogs_visual_materials/walnut_bread/walnut_bread_C.png,0
Wasp Lizard,A reptile with yellow and black stripes,A reptile with green stripes,cogs_visual_materials/wasp_lizard/wasp_lizard_D.png,A reptile eating a stinging insect,A reptile eating fruit,cogs_visual_materials/wasp_lizard/wasp_lizard_N.png,A reptile beside a stinging insect,A reptile beside fruit,cogs_visual_materials/wasp_lizard/wasp_lizard_C.png,0
Wool Stove,A soft material shaped into a heating appliance,A soft material shaped into sphere,cogs_visual_materials/wool_stove/wool_stove_D.png,An appliance burning soft material,An appliance burning paper,cogs_visual_materials/wool_stove/wool_stove_N.png,An appliance beside soft material,An appliance beside paper,cogs_visual_materials/wool_stove/wool_stove_C.png,0
Zebra Bell,A metal object with a striped pattern,A metal object with dots,cogs_visual_materials/zebra_bell/zebra_bell_D.png,A metal object worn by a striped animal,A metal object worn by a dog,cogs_visual_materials/zebra_bell/zebra_bell_N.png,A metal object beside a striped animal,A metal object beside a dog,cogs_visual_materials/zebra_bell/zebra_bell_C.png,0
